,INCHIKEY,Al_COO,Al_OH,Ar_N,Ar_OH,COO,COO2,C_O,C_O_noCOO,NH0,NH1,NH2,amide,aniline,benzene,bicyclic,ester,ether,halogen,methoxy,para_hydroxylation,phenol,phenol_noOrthoHbond
0,KNXMUFRWYNVISA-UHFFFAOYSA-N,0.01541651,0.0073687257,0.010817138,0.0027342872,0.0132639855,0.01999994,0.985401,0.98753923,-0.0028773285,0.00913223,-0.0034741336,0.010273317,0.01808028,-0.004861038,0.019319182,0.9631558,0.9493732,-0.009426525,0.00081744324,0.004535335,-0.010858862,-0.004581552
1,JRBPAEWTRLWTQC-UHFFFAOYSA-N,0.019903846,0.013495562,-0.00089267176,7.269392e-05,0.018676698,0.01994725,0.009671614,0.008966889,0.008913506,0.0027137485,0.9949413,0.0036494678,0.010113792,-0.0022277571,0.0050649997,-0.0017747574,0.019540694,-0.011907367,-0.0059388774,-0.003861309,-0.004404044,-0.0034180991
2,QYZLKGVUSQXAMU-UHFFFAOYSA-N,0.016539685,0.010130917,-0.0010302244,-0.00080385944,0.0150166005,0.015666012,0.013352379,0.011849057,0.004481476,0.0059383595,-0.002221989,0.0066636,0.009982982,-0.0013660416,0.01032812,-0.00020014428,0.0147378445,-0.008210612,-0.0032930942,-0.0025789673,-0.0053758454,-0.0029695109
3,HLPIHRDZBHXTFJ-UHFFFAOYSA-N,0.021172263,0.009237331,-0.00018076133,-0.0010817437,0.020217031,0.019373547,0.017860636,0.014002759,0.004049089,0.006270402,-0.0023534172,0.0074855704,0.011427746,0.0011054352,0.0114484485,-0.00162737,0.014239375,-0.010643883,-0.0036351206,-0.0023031095,-0.006338021,-0.0052025057
4,GSNUFIFRDBKVIE-UHFFFAOYSA-N,0.021352656,0.00921109,-0.000111903064,-0.0010759397,0.020400569,0.019500185,0.01787442,0.014000591,0.004021112,0.0062620426,-0.0023675435,0.007559361,0.011538,0.0011290833,0.011552369,-0.0017343604,0.014249716,-0.010756729,-0.0036608027,-0.0022835108,-0.006405307,-0.0053003766
5,LLYOXZQVOKALCD-UHFFFAOYSA-N,0.025853686,-0.019101586,2.2074027,0.9589931,0.019616514,0.0050902553,-0.004022017,0.022288214,2.4701514,-0.020933961,0.0017761416,0.023547234,0.037508488,2.0252192,1.1223978,-0.0033739575,0.0065059923,-0.020191593,-0.013308604,1.2349682,0.9615606,0.9620633
6,FJIKWRGCXUCUIG-UHFFFAOYSA-N,0.027803898,0.008245577,0.0095605375,0.0077369423,0.010220468,0.024607446,0.95138186,0.94353193,1.9727181,-0.005817405,-0.0008916282,1.0762528,0.69210523,1.6773819,1.0587248,-0.004032604,0.0132050775,2.1358664,-0.0025940211,0.0038503697,-0.012353284,-0.008238751
7,OVYWMEWYEJLIER-UHFFFAOYSA-N,0.02334454,-0.004191558,0.8703897,1.0632069,0.020403996,0.009985838,-0.0152863115,0.0021513365,0.4192065,0.033663742,0.0020414419,0.01805822,0.01893887,1.030989,1.0604384,-0.011603578,0.012352448,-0.012557564,-0.013454613,0.0033244928,1.0414897,1.0423579
8,GYCMBHHDWRMZGG-UHFFFAOYSA-N,0.01630067,0.008187165,0.0035406621,-0.0014049648,0.009732753,0.016024355,0.008877918,0.014873456,1.0029564,0.004241162,-0.006523656,0.01072708,0.01070118,-0.01019131,0.014444059,-0.00088970293,0.01612987,-0.00868514,-0.0029423954,-0.0012519555,-0.0055686217,-0.004198257
9,TWBPWBPGNQWFSJ-UHFFFAOYSA-N,0.028777845,0.0046242075,0.0053863646,0.012398718,0.020726725,0.01306783,-0.0062033683,-0.0050995983,-6.0442835e-05,0.010757797,0.9830182,0.014652194,0.9732179,2.0430057,0.070730574,-0.0050761397,0.0066740327,-0.013031391,-0.015568105,0.13922535,-0.0074725132,-0.005556036
10,FQKUGOMFVDPBIZ-UHFFFAOYSA-N,0.02950377,0.02834307,1.7036176,0.053313956,0.014278069,0.018482286,0.0006533861,-0.004042361,2.115791,1.4753358,0.0037473268,0.0096604545,2.483202,2.0159576,-0.0013925377,-0.014668389,0.015019428,1.6711,0.0029244302,0.01993629,0.025593566,0.028502572
11,DDLIGBOFAVUZHB-UHFFFAOYSA-N,0.031607375,0.0035877868,2.398006,0.010580061,0.014329717,0.012689222,0.0060147047,0.0037727766,2.7797208,-0.0019173834,-0.0045879656,0.014573807,0.0073298225,1.9806424,1.8989707,-0.0072990204,0.023120414,2.0746102,-0.0019004168,0.011238224,-0.004094301,-0.0068620183
