,Average Rt(min),Average Mz,mass_round,pos_DIWB_1,pos_DIWB_2,pos_no injection_1,pos_no injection_2,pos_no injection_3,pos_no injection_4,pos-octl,pos_butac,pos_chlor,pos_chx,pos_dcm,pos_glyctriol,pos_hx,pos_octn,pos_olalc,pos_tol,pos_undec,pos-octlW,pos_butacW,pos_chlorW,pos_chxW,pos_dcmW,pos_glyctriolW,pos_hxW,pos_octnW,pos_olalcW,pos_tolW,pos_undecW,pos-octlM,pos_butacM,pos_chlorM,pos_chxM,pos_dcmM,pos_glyctriolM,pos_hxM,pos_octnM,pos_olalcM,pos_tolM,pos_undecM,pos-octlR_log,pos_butacR_log,pos_chlorR_log,pos_chxR_log,pos_dcmR_log,pos_glyctriolR_log,pos_hxR_log,pos_octnR_log,pos_olalcR_log,pos_tolR_log,pos_undecR_log,zeros,W_average,W_std,W_Rstd,W_Rstd_flag,Average,Stdev,Aliquot_Plate_Barcode,Aliquot_Well_ID,Aliquot_Concentration,Aliquot_Concentration_Unit,Target_Concentration,Target_Concentration_Unit,Aliquot_Solvent,DTXSID,CASRN,Preferred_Name,Smiles,Indigo_Inchi_Key,Mol_Formula,Monoisotopic_Mass,Relationship,MS_Ready_DTXCID,MS_Ready_Smiles,MS_Ready_Inchikey,MS_Ready_Mol_Formula,MS_Ready_Monoisotopic_Mass,octl,butac,chlor,chx,dcm,glyctriol,hx,octn,olalc,tol,undec,Mass_diff,Mass_flag
25,4.43,118.0525349681,118.0,2309,2896,1924,3004,2423,1540,2226.0,10135.0,15503.5,25434.0,15262.5,18208.5,24801.0,25083.5,7224.5,23254.0,25952.0,24803.5,23932.5,26310.0,25729.5,26153.0,25726.5,26042.0,24773.5,29241.0,24214.0,22020.5,22577.5,13797.5,10806.5,295.5,10890.5,7518.0,1241.0,-310.0,22016.5,960.0,-3931.5,1.0061506909510138,0.1339766497082736,-0.15674469579547112,-1.9348571817345905,-0.1465778575960538,-0.38417184909836133,-1.3006974108487042,,0.48394048419222285,-1.3842264350900642,,2,25358.727272727272,1718.5214491167635,6.776844242356727,1,18820.1788377949,9357.08149619556,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID8024573,51-17-2,Benzimidazole,N1C=NC2=C1C=CC=C2,HYZJCKYKOHLVJF-UHFFFAOYSA-N,C7H6N2,118.05309820099998,2D-QSAR-Ready,DTXCID704573,N1C=NC2=C1C=CC=C2,HYZJCKYKOHLVJF-UHFFFAOYSA-N,C7H6N2,118.05309820099998,1.06,0.98,-0.1,-2,-0.21,-0.9,-2.16,-2.2,0.11,-0.7,-2.19,4.771013286064611,0
44,4.476,133.0733049681,133.0,1292,2185,1412,3741,3229,2372,14364.5,55058.0,19463.5,8563.5,47583.0,26690.5,42443.0,7768.5,21095.0,35237.5,11882.5,5622.0,8763.5,17455.0,4244.5,8807.0,2930.5,3772.5,3163.0,3950.0,6223.5,4005.0,-8742.5,-46294.5,-2008.5,-4319.0,-38776.0,-23760.0,-38670.5,-4605.5,-17145.0,-29014.0,-7877.5,,,,,,,,,,,,11,6266.954545454545,4043.385071798502,64.51913832263536,0,14426.1680285884,15111.628913776,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID3044625,25209-66-9,"N,N-Bis(2-hydroxyethyl)formamide",OCCN(CCO)C=O,AGQSGSYOSSBGLI-UHFFFAOYSA-N,C5H11NO3,133.07389321799997,2D-QSAR-Ready,DTXCID1024625,OCCN(CCO)C=O,AGQSGSYOSSBGLI-UHFFFAOYSA-N,C5H11NO3,133.07389321799997,-2.62,-2.22,-3.16,-7.37,-3.35,-5.21,-7.44,-7.66,-3.41,-5.06,-7.58,4.4204756151011635,0
45,0.796,133.07336496809998,133.0,8447,7455,2363,1461,3053,3184,29159.0,21508.5,27624.5,23700.0,25882.5,20036.5,17781.5,26860.5,29360.0,27851.5,23254.5,20493.5,18732.0,26813.0,25528.0,24211.0,19879.0,23187.0,25405.5,17251.0,28241.5,16572.5,-8665.5,-2776.5,-811.5,1828.0,-1671.5,-157.5,5405.5,-1455.0,-12109.0,390.0,-6682.0,,,,-1.1127721546122913,,,-0.517132522421881,,,-1.853783982938551,,8,22392.18181818182,3816.5892392930637,17.044293719489634,0,20920.7043744255,8107.13990350742,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID3044625,25209-66-9,"N,N-Bis(2-hydroxyethyl)formamide",OCCN(CCO)C=O,AGQSGSYOSSBGLI-UHFFFAOYSA-N,C5H11NO3,133.07389321799997,2D-QSAR-Ready,DTXCID1024625,OCCN(CCO)C=O,AGQSGSYOSSBGLI-UHFFFAOYSA-N,C5H11NO3,133.07389321799997,-2.62,-2.22,-3.16,-7.37,-3.35,-5.21,-7.44,-7.66,-3.41,-5.06,-7.58,3.969598297697277,0
51,8.65,134.07182496809997,134.0,1397,1253,987,2219,1515,795,1242.5,2032.0,1258.5,2068.0,899.0,1818.0,1071.0,1201.5,28339.0,1594.5,1693.0,1053.0,1818.0,1798.5,1768.5,2093.5,1411.0,1251.5,794.5,8997.5,1661.0,2145.5,-189.5,-214.0,540.0,-299.5,1194.5,-407.0,180.5,-407.0,-19341.5,66.5,452.5,,,-0.367459460061413,,0.12342646235266795,,-0.7733122645901789,,,-1.3798028782758733,-0.573038374567713,6,2253.8636363636365,2169.739333850844,96.26755136577304,0,2859.35855222216,5447.15103388794,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID3022164,1745-81-9,2-Allylphenol,OC1=CC=CC=C1CC=C,QIRNGVVZBINFMX-UHFFFAOYSA-N,C9H10O,134.07316494200003,2D-QSAR-Ready,DTXCID802164,OC1=CC=CC=C1CC=C,QIRNGVVZBINFMX-UHFFFAOYSA-N,C9H10O,134.07316494200003,2.69,2.9,2.37,1.4,2.52,1.66,1.28,1.24,2.45,2.27,1.27,9.99434823992328,0
52,2.154,134.07185496809998,134.0,472,307,378,797,659,273,584.5,405.5,804.0,477.0,550.0,1126.5,518.5,935.5,19103.0,265.5,890.5,563.0,357.5,536.0,754.0,374.5,1040.5,309.0,291.5,6897.0,325.5,998.5,-21.5,-48.0,-268.0,277.0,-175.5,-86.0,-209.5,-644.0,-12206.0,60.0,108.0,,,,-0.23603860997566534,,,,,,-0.6459132750338442,-0.9162101683123126,8,1131.5454545454545,1841.22356124381,162.71759599648036,0,1563.65051434087,3803.1230753853,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID3022164,1745-81-9,2-Allylphenol,OC1=CC=CC=C1CC=C,QIRNGVVZBINFMX-UHFFFAOYSA-N,C9H10O,134.07316494200003,2D-QSAR-Ready,DTXCID802164,OC1=CC=CC=C1CC=C,QIRNGVVZBINFMX-UHFFFAOYSA-N,C9H10O,134.07316494200003,2.69,2.9,2.37,1.4,2.52,1.66,1.28,1.24,2.45,2.27,1.27,9.770589816509464,0
53,2.564,134.07219496809998,134.0,437,772,1141,510,877,660,404.5,264.5,3005.5,1761.5,3082.5,1000.0,522.5,1038.5,26789.0,1591.5,537.5,857.5,1154.5,1990.5,1402.0,2380.0,1500.0,1049.0,556.0,13799.0,1121.0,446.0,453.0,890.0,-1015.0,-359.5,-702.5,500.0,526.5,-482.5,-12990.0,-470.5,-91.5,0.04917967606454077,0.5269643302737083,,,,-0.3010299956639812,0.0033120807384137475,,,,,7,2386.8636363636365,3649.650886734418,152.90571405640188,0,2696.22292312921,5579.94414395019,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID3022164,1745-81-9,2-Allylphenol,OC1=CC=CC=C1CC=C,QIRNGVVZBINFMX-UHFFFAOYSA-N,C9H10O,134.07316494200003,2D-QSAR-Ready,DTXCID802164,OC1=CC=CC=C1CC=C,QIRNGVVZBINFMX-UHFFFAOYSA-N,C9H10O,134.07316494200003,2.69,2.9,2.37,1.4,2.52,1.66,1.28,1.24,2.45,2.27,1.27,7.234661018667498,0
54,4.786,134.0730649681,134.0,2287,3850,1856,2546,1685,1090,2185.5,2966.0,2924.5,2060.5,2299.0,29578.0,3371.5,2622.5,2948.5,2166.0,2172.5,2867.0,2573.5,1572.5,1751.0,2014.5,13811.0,2359.0,2071.0,1979.5,1045.5,2258.0,681.5,-392.5,-1352.0,-309.5,-284.5,-15767.0,-1012.5,-551.5,-969.0,-1120.5,85.5,-0.506084950654979,,,,,,,,,,-1.4049936703925314,9,3118.409090909091,3413.582873930276,109.46552470879101,0,3855.75727515127,5859.52621205533,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID3022164,1745-81-9,2-Allylphenol,OC1=CC=CC=C1CC=C,QIRNGVVZBINFMX-UHFFFAOYSA-N,C9H10O,134.07316494200003,2D-QSAR-Ready,DTXCID802164,OC1=CC=CC=C1CC=C,QIRNGVVZBINFMX-UHFFFAOYSA-N,C9H10O,134.07316494200003,2.69,2.9,2.37,1.4,2.52,1.66,1.28,1.24,2.45,2.27,1.27,0.7456667415747182,0
75,0.793,136.0879349681,136.0,163,339,0,116,100,116,1057.5,539.5,1492.5,754.0,1617.0,1067.0,955.5,840.0,18414.0,1774.5,889.0,727.5,687.0,1371.5,692.0,1097.5,1144.0,823.0,1253.5,4084.0,1131.5,661.0,-330.0,147.5,-121.0,-62.0,-519.5,77.0,-132.5,413.5,-14330.0,-643.0,-228.0,,-0.5631994287047477,,,,-1.141673694251988,,-0.30780377217331617,,,,8,1242.9545454545455,930.5378809773863,74.86499682392575,0,1707.40526640649,3503.00496662351,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID0044571,618-45-1,3-Isopropylphenol,CC(C)C1=CC=CC(O)=C1,VLJSLTNSFSOYQR-UHFFFAOYSA-N,C9H12O,136.08881500599998,2D-QSAR-Ready,DTXCID8024571,CC(C)C1=CC=CC(O)=C1,VLJSLTNSFSOYQR-UHFFFAOYSA-N,C9H12O,136.08881500599998,2.71,3,1.6,0.42,1.89,0.82,0.36,0.26,2.46,1.59,0.39,6.466643860014141,0
76,5.43,136.08806496809999,136.0,9325,5864,5059,3389,3764,2482,4033.0,2959.0,3230.5,5338.0,3893.0,19500.5,4354.0,4734.0,37231.5,4497.0,2773.5,3055.0,3594.5,5122.0,4294.5,3709.0,13985.0,4998.5,3109.5,13311.0,5131.5,3902.5,-978.0,635.5,1891.5,-1043.5,-184.0,-5515.5,644.5,-1624.5,-23920.5,634.5,1129.0,,-0.668029410270606,-0.23246339974742486,,,,-0.8296655030156537,,,-0.8504912611372183,-0.3903342282898864,6,5837.545454545455,3751.607912582559,64.26687281143717,0,6800.68070953968,7536.8283713003,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID0044571,618-45-1,3-Isopropylphenol,CC(C)C1=CC=CC(O)=C1,VLJSLTNSFSOYQR-UHFFFAOYSA-N,C9H12O,136.08881500599998,2D-QSAR-Ready,DTXCID8024571,CC(C)C1=CC=CC(O)=C1,VLJSLTNSFSOYQR-UHFFFAOYSA-N,C9H12O,136.08881500599998,2.71,3,1.6,0.42,1.89,0.82,0.36,0.26,2.46,1.59,0.39,5.511385340210815,0
77,2.733,136.0881849681,136.0,328,310,519,565,922,573,427.5,508.0,1032.5,856.5,937.5,937.5,395.0,1011.0,17047.0,664.0,516.0,1402.5,824.0,616.5,808.0,785.0,1353.5,719.0,1022.0,7216.0,737.5,766.5,975.0,316.0,-416.0,-48.5,-152.5,416.0,324.0,11.0,-9831.0,73.5,250.5,0.35806849663434537,-0.20617662966551542,,,,-0.35287794577301373,-0.08605208541984807,-1.963358470432776,,-0.9558807402838225,-0.3138419714239469,4,1477.3181818181818,1831.1316951885156,123.9497162984134,0,1685.97604190602,3411.56738913362,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID0044571,618-45-1,3-Isopropylphenol,CC(C)C1=CC=CC(O)=C1,VLJSLTNSFSOYQR-UHFFFAOYSA-N,C9H12O,136.08881500599998,2D-QSAR-Ready,DTXCID8024571,CC(C)C1=CC=CC(O)=C1,VLJSLTNSFSOYQR-UHFFFAOYSA-N,C9H12O,136.08881500599998,2.71,3,1.6,0.42,1.89,0.82,0.36,0.26,2.46,1.59,0.39,4.629608244831027,0
