Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified for quantification	Manually modified for annotation	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	pos_1-octl_1	pos_1-octl_2	pos_1-octlW_1	pos_1-octlW_2	pos_butac_1	pos_butac_2	pos_butacW_1	pos_butacW_2	pos_chlor_1	pos_chlor_2	pos_chlorW_1	pos_chlorW_2	pos_chx_1	pos_chx_2	pos_chxW_1	pos_chxW_2	pos_dcm_1	pos_dcm_2	pos_dcmW_1	pos_dcmW_2	pos_DIWB_1	pos_DIWB_2	pos_glyctriol_1	pos_glyctriol_2	pos_glyctriolW_1	pos_glyctriolW_2	pos_hx_1	pos_hx_2	pos_hxW_1	pos_hxW_2	pos_no injection_1	pos_no injection_2	pos_no injection_3	pos_no injection_4	pos_octn_1	pos_octn_2	pos_octnW_1	pos_octnW_2	pos_olalc_1	pos_olalc_2	pos_olalcW_1	pos_olalcW_2	pos_test injection	pos_tol_1	pos_tol_2	pos_tolW_1	pos_tolW_2	pos_undec_1	pos_undec_2	pos_undecW_1	pos_undecW_2	Average	Stdev
0	2.388	100.0757	w/o MS2:2-Piperidone; CE0; XUWHAWMETYGRKB-UHFFFAOYSA-N	[M+H]+		0.392	False	1.855	100.0757	C5H9NO	Piperidinones	XUWHAWMETYGRKB-UHFFFAOYSA-N	C1CCN=C(C1)O	530	True	True	False		False	False	null	null	100	100	null	null	null	22.44	pos_octn_1	100.0757:14447 101.07905:1216 102.08241:209		45283	42315	19637	11105	47168	53984	16085	21448	55570	53967	38945	40281	18966	18941	14191	13973	29852	26872	11390	12590	3918	6314	20731	23657	11278	12534	30763	29285	11868	12113	2775	6057	4210	2429	64233	62929	62471	57698	36663	38639	25436	19545	3329	32344	29635	15108	12955	17149	18465	16264	17049	25498.1818321078	17550.0482430828
1	1.033	100.0757	w/o MS2:2-Piperidone; CE0; XUWHAWMETYGRKB-UHFFFAOYSA-N	[M+H]+	similar chromatogram in higher mz_7; similar chromatogram in higher mz_295; similar chromatogram in higher mz_495; similar chromatogram in higher mz_580; similar chromatogram in higher mz_883; similar chromatogram in higher mz_2144	0.157	False	1.855	100.0757	C5H9NO	Piperidinones	XUWHAWMETYGRKB-UHFFFAOYSA-N	C1CCN=C(C1)O	530	True	True	False		False	False	null	null	100	100	null	null	null	12.37	pos_hxW_2	100.0757:4744 101.07905:284 102.08241:0		12414	11023	14089	12581	11925	11167	19232	18488	13080	14648	11715	11439	13079	12806	13651	15867	11787	8562	20087	14824	6048	7448	13807	14066	17473	14098	17699	18463	18245	21651	1149	1958	3342	1829	12468	14379	18580	18374	15776	16991	22541	17835	3706	13339	13000	17237	15777	13132	11208	14032	14434	13383.3279167624	4934.42048815686
2	2.057	100.07578	w/o MS2:Unknown (carbon number 5); PlaSMA ID-14	[M+H]+		0.647	False	2.33	100.0758	C5H9NO	Unknown			530	True	True	False		False	False	null	null	100	100	null	null	null	460.04	pos_1-octl_1	100.07578:896900 101.07913:56003 102.08249:2792		3587005	3548617	27939	24312	1053233	1038747	42171	45098	516782	535467	109433	113468	66538	66829	2801	5476	538378	544304	42028	40244	5323	4959	205642	204541	11456	9968	527186	521136	14329	12211	3364	5204	3331	2393	43817	38274	16246	14488	258500	265229	25564	22277	2605	597348	614308	19446	24296	54315	52521	10618	12387	304944.151491651	715610.996024056
3	0.788	100.07588	w/o MS2:Unknown (carbon number 5); PlaSMA ID-14	[M+H]+	ion correlated with 89; similar chromatogram in higher mz_1542; similar chromatogram in higher mz_973; similar chromatogram in higher mz_1192; similar chromatogram in higher mz_1464; similar chromatogram in higher mz_371; similar chromatogram in higher mz_262; similar chromatogram in higher mz_782; similar chromatogram in higher mz_197; similar chromatogram in higher mz_1222; similar chromatogram in higher mz_350; similar chromatogram in higher mz_664; similar chromatogram in higher mz_876; similar chromatogram in higher mz_110; similar chromatogram in higher mz_236; similar chromatogram in higher mz_369; similar chromatogram in higher mz_836; similar chromatogram in higher mz_962; similar chromatogram in higher mz_1414; similar chromatogram in higher mz_1604; similar chromatogram in higher mz_1332; similar chromatogram in higher mz_2906; similar chromatogram in higher mz_81; similar chromatogram in higher mz_525	0.588	False	2.33	100.0758	C5H9NO	Unknown			530	True	True	False		False	False	null	null	100	100	null	null	null	12.29	pos_tol_2	100.07588:7573 101.07923:656 102.08259:535		16774	15098	13859	11112	11458	11481	13673	13949	15637	13324	12261	9738	12131	11971	12752	10810	21797	19063	16598	17834	6587	4864	12122	11449	13172	13781	12560	13528	14699	12581	1309	3076	6052	1795	16504	17541	14809	17525	14136	13544	12118	14133	2717	22377	27297	20692	21053	14982	13173	12519	14382	13301.8740617341	5122.24165486659
4	5.862	100.11208	w/o MS2:Cyclohexylamine	[M+H]+		1	False	null	100.11208	C6H13N	Cyclohexylamines	PAFZNILMFXTMIY-UHFFFAOYSA-N	C1CCC(CC1)N	530	True	True	False		False	False	null	null	100	null	null	null	null	21.73	pos_olalc_2	100.11208:9202 101.11543:694 102.11879:1577		52338	94836	86727	99024	80558	83362	89868	85607	93016	90100	89765	90259	85500	86775	94043	86491	79400	98477	90509	48287	79945	82916	84540	95902	84949	83072	83972	87012	89913	83899	76175	82980	93203	81985	76413	96500	95870	81675	51077	92851	95273	91999	79981	95180	89307	77660	89537	93049	89293	83345	93891	85653.0003063725	10618.4834977627
5	2.79	100.11228	w/o MS2:Cyclohexylamine	[M+H]+		0.863	False	null	100.11208	C6H13N	Cyclohexylamines	PAFZNILMFXTMIY-UHFFFAOYSA-N	C1CCC(CC1)N	530	True	True	False		False	False	null	null	100	null	null	null	null	603.37	pos_butac_1	100.11228:718150 101.11563:57291 102.11899:1271		2032293	1993320	1324650	1314207	5887234	5581958	1418437	1414932	3896389	4079850	2456706	2419082	824704	831295	407491	421171	3131764	3091055	1142263	1141904	9711	2922	1189132	1218018	155991	149790	2779138	2752156	494685	488812	5815	4867	1836	3194	891864	904291	498754	494646	1448540	1356521	314874	302865	4341	2281026	2320873	655735	642930	978193	959739	356741	355929	1349698.66041954	1374323.76843454
6	9.848	100.98862	Unknown	[M+H]+		1	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	18.73	pos_olalcW_1	100.98862:9599 101.99197:0 102.99533:0		69832	70501	72247	75318	65210	62331	75950	77082	69593	67146	75906	74734	62406	67655	82402	75519	69382	66491	76958	76986	65652	62611	66432	67219	75344	72175	73209	69419	77944	77660	69356	63931	63131	61998	68045	65135	77269	77500	67335	73885	81666	81403	81642	66062	64961	69742	74730	74498	68208	78668	76426	71507.9433976716	5796.01234982463
7	1.035	101.00326	Unknown	[M+H]+	similar chromatogram in higher mz_265; similar chromatogram in higher mz_2300; similar chromatogram in higher mz_2961; similar chromatogram in higher mz_883; similar chromatogram in higher mz_2144; similar chromatogram in higher mz_1773; similar chromatogram in higher mz_2944	0.863	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	22.67	pos_olalc_1	101.00326:11911 102.00661:937 103.00997:970		34362	35559	41652	39212	42117	38762	41532	39274	33482	37098	39713	36976	41429	35876	37924	39761	36801	35932	36446	38562	979	755	36095	37047	37631	39203	39220	40318	38067	39822	1586	754	665	391	37322	37313	38015	40045	46806	43111	43810	40981	399	35619	38388	37417	34779	43789	44859	43230	41598	33774.270095526	13569.3193777336
8	0.922	101.04081	Unknown	[M+H]+	ion correlated with 661; ion correlated with 629; ion correlated with 999; ion correlated with 1898; ion correlated with 1878; ion correlated with 1720; ion correlated with 1790; ion correlated with 3325; ion correlated with 1448; ion correlated with 1459; ion correlated with 1801; ion correlated with 1363; ion correlated with 1342; ion correlated with 1094; ion correlated with 2977; ion correlated with 2990; ion correlated with 3042; ion correlated with 3053; ion correlated with 3500; ion correlated with 2260	0.039	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	24.86	pos_glyctriol_2	101.04081:10199 102.04416:390 103.04752:0		208	148	0	100	110	345	0	106	228	280	218	149	119	0	393	102	113	224	0	0	119	107	28742	29463	5823	6442	133	149	131	128	0	0	0	0	106	0	214	114	121	509	0	95	0	0	0	0	297	126	110	259	109	1492.96478944666	5757.09508978685
9	5.126	101.05951	Unknown	[M+H]+	similar chromatogram in higher mz_1650	0.922	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	10.42	pos_glyctriol_2	101.05951:6176 102.06286:424 103.06622:405		29278	64309	25388	59000	59125	60057	60541	62242	48670	30471	37683	35001	61282	58816	58580	58554	67065	60090	31417	59155	58383	59532	67983	68250	65436	59126	67833	37036	59065	29487	52431	58033	27161	54424	57438	62042	58617	34101	65480	42911	62112	67707	56305	56242	61243	64534	39978	65311	42230	65765	54725	53875.4931449142	12675.8508999604
