,Average Rt(min),Average Mz,mass_round,neg_DIWB_1,neg_DIWB_2,neg_no injection_1,neg_no injection_2,neg_no injection_3,neg_no injection_4,neg-octl,neg_butac,neg_chlor,neg_chx,neg_dcm,neg_glyctriol,neg_hx,neg_octn,neg_olalc,neg_tol,neg_undec,neg-octlW,neg_butacW,neg_chlorW,neg_chxW,neg_dcmW,neg_glyctriolW,neg_hxW,neg_octnW,neg_olalcW,neg_tolW,neg_undecW,neg-octlM,neg_butacM,neg_chlorM,neg_chxM,neg_dcmM,neg_glyctriolM,neg_hxM,neg_octnM,neg_olalcM,neg_tolM,neg_undecM,neg-octlR_log,neg_butacR_log,neg_chlorR_log,neg_chxR_log,neg_dcmR_log,neg_glyctriolR_log,neg_hxR_log,neg_octnR_log,neg_olalcR_log,neg_tolR_log,neg_undecR_log,zeros,W_average,W_std,W_Rstd,W_Rstd_flag,Average,Stdev,Aliquot_Plate_Barcode,Aliquot_Well_ID,Aliquot_Concentration,Aliquot_Concentration_Unit,Target_Concentration,Target_Concentration_Unit,Aliquot_Solvent,DTXSID,CASRN,Preferred_Name,Smiles,Indigo_Inchi_Key,Mol_Formula,Monoisotopic_Mass,Relationship,MS_Ready_DTXCID,MS_Ready_Smiles,MS_Ready_Inchikey,MS_Ready_Mol_Formula,MS_Ready_Monoisotopic_Mass,octl,butac,chlor,chx,dcm,glyctriol,hx,octn,olalc,tol,undec,Mass_diff,Mass_flag,chem_id,predicted_1-octanol,predicted_butyl acetate,predicted_chloroform,predicted_cyclohexane,predicted_dichloromethane,predicted_triolein,predicted_n-hexane,predicted_n-octane,predicted_oleylalcohol,predicted_toluene,predicted_n-undecane,imputed_1-octanol,imputed_butyl acetate,imputed_chloroform,imputed_cyclohexane,imputed_dichloromethane,imputed_triolein,imputed_n-hexane,imputed_n-octane,imputed_oleylalcohol,imputed_toluene,imputed_n-undecane,1-octanol_db_std,butyl acetate_db_std,chloroform_db_std,cyclohexane_db_std,dichloromethane_db_std,triolein_db_std,n-hexane_db_std,n-octane_db_std,oleylalcohol_db_std,toluene_db_std,n-undecane_db_std,1-octanol_exp_std,butyl acetate_exp_std,chloroform_exp_std,cyclohexane_exp_std,dichloromethane_exp_std,triolein_exp_std,n-hexane_exp_std,n-octane_exp_std,oleylalcohol_exp_std,toluene_exp_std,n-undecane_exp_std,Correlation_R2
23,8.372,232.0172750319,232,0,0,202,0,0,0,103.5,88.5,0,31592.5,99,0,40413.5,37081,272.5,97.5,35587,40948.5,55726.5,57351.5,54306.5,57395.5,57032,58391,58062.5,47895,58202,56239.5,40845,55638,57351.5,22714,57296.5,57032,17977.5,20981.5,47622.5,58104.5,20652.5,2.59619855060271,2.79842823946879,,-0.143290372714185,2.76249289897347,,-0.351797166599671,-0.247314904325185,2.24244568386203,2.77520515265545,-0.236318747493635,2,54686.4090909091,5186.66680414214,9.48437992247759,1,29293.5754514208,25781.6068233707,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID0020446,330-54-1,Diuron,CN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1,XMTQQYYKAHVGBJ-UHFFFAOYSA-N,C9H10Cl2N2O,232.0170184,2D-QSAR-Ready,DTXCID00446,CN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1,XMTQQYYKAHVGBJ-UHFFFAOYSA-N,C9H10Cl2N2O,232.0170184,2.4,2.91,2.54,0.21,2.54,0.9,-0.1,-0.13,1.79,1.79,-0.07,1.11,0,232.017@8.372,3.03,3.86,2.71,0.33,2.76,0.87,-0.05,-0.14,2.42,1.66,0.01,2.60,2.80,2.71,-0.14,2.76,0.87,-0.35,-0.25,2.24,2.78,-0.24,0.92,1.36,1.04,-0.99,1.04,-0.39,-1.25,-1.28,0.39,0.39,-1.23,0.85,1.00,0.93,-1.15,0.97,-0.41,-1.30,-1.23,0.59,0.98,-1.22,0.95
33,6.839,260.0156950319,260,126,159,125,0,103,114,85,124.5,70.5,21428,55,3822.5,22115.5,21564.5,545.5,4485,20506,20036.5,20924.5,23177.5,21265.5,22771.5,22037.5,23115.5,21994,23281.5,23692.5,21607.5,19951.5,20800,23107,-162.5,22716.5,18215,1000,429.5,22736,19207.5,1101.5,2.3705566268014,2.22289398353101,2.51555444735317,,2.61597872963195,0.678081681493577,-1.34469676259715,-1.70077622476876,1.61991930565903,0.631708394480019,-1.26989645155112,1,22173.0909090909,1091.71730477891,4.92361353342625,1,13294.8587178249,10567.3065408823,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID4022020,314-40-9,Bromacil,CCC(C)N1C(=O)NC(C)=C(Br)C1=O,CTSLUCNDVMMDHG-UHFFFAOYSA-N,C9H13BrN2O2,260.016041,2D-QSAR-Ready,DTXCID802020,CCC(C)N1C(=O)NC(C)=C(Br)C1=O,CTSLUCNDVMMDHG-UHFFFAOYSA-N,C9H13BrN2O2,260.016041,3.17,2.77,3.13,1.52,2.73,1.81,1.24,1.3,2.28,2.32,1.2,1.33,0,260.016@6.839,1.81,2.92,2.06,-0.86,1.98,-0.13,-1.22,-1.07,1.27,1.24,-1.20,2.37,2.22,2.52,-0.86,2.62,0.68,-1.34,-1.70,1.62,0.63,-1.27,1.44,0.88,1.38,-0.85,0.83,-0.45,-1.24,-1.16,0.20,0.26,-1.29,1.04,0.95,1.13,-0.95,1.19,0.00,-1.24,-1.46,0.58,-0.03,-1.20,0.92
18,7.09,216.0673450319,216,266,1202,236,744,759,902,1122.5,685.5,729,24968.5,1516.5,4238,25967,25020.5,1978,5391,26152,27841,28361.5,29215.5,29291.5,29382.5,28135,29364,28027.5,29502,28123.5,27196.5,26718.5,27676,28486.5,4323,27866,23897,3397,3007,27524,22732.5,1044.5,1.3766257231398,1.60609586280592,1.59191156451356,-0.76160721705837,1.26423221812825,0.751182431199995,-0.883326231072533,-0.920162556116646,1.14348526191319,0.624977867930686,-1.39859646325599,0,28585.5,753.061327938411,2.63441719731476,1,17044.4783552581,13060.3826261011,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID8024317,5902-51-2,Terbacil,CC1=C(Cl)C(=O)N(C(=O)N1)C(C)(C)C,NBQCNZYJJMBDKY-UHFFFAOYSA-N,C9H13ClN2O2,216.0665554,2D-QSAR-Ready,DTXCID104317,CC1=C(Cl)C(=O)N(C(=O)N1)C(C)(C)C,NBQCNZYJJMBDKY-UHFFFAOYSA-N,C9H13ClN2O2,216.0665554,2.75,2.48,2.8,1.15,2.49,1.49,0.91,0.95,2.04,1.99,0.86,3.65,0,216.067@7.09,1.20,1.42,1.58,-0.67,1.39,0.00,-1.03,-1.00,0.36,0.55,-0.89,1.38,1.61,1.59,-0.76,1.26,0.75,-0.88,-0.92,1.14,0.62,-1.40,1.29,0.92,1.36,-0.90,0.93,-0.44,-1.23,-1.18,0.32,0.25,-1.30,0.89,1.10,1.09,-1.06,0.79,0.32,-1.17,-1.20,0.68,0.21,-1.64,0.90
0,4.431,118.0536450319,118,2008,1889,1118,1532,4225,770,2989.5,9495,19444.5,29497.5,17823,23901,30558,28520.5,7587,28194.5,29212,27609.5,29133.5,29698,28898.5,30945.5,32485,31309.5,30991,32092.5,31492,25626,24620,19638.5,10253.5,-599,13122.5,8584,751.5,2470.5,24505.5,3297.5,-3586,0.915689490839129,0.315613343980696,-0.277924644331065,,-0.132964225656171,-0.444726362927335,-1.60919594163689,-1.06237227674603,0.509193484038433,-0.931979593015372,,2,30025.5454545455,1983.22976313599,6.60514149905561,1,22165.3757695217,11245.4331877545,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID8024573,51-17-2,Benzimidazole,N1C=NC2=C1C=CC=C2,HYZJCKYKOHLVJF-UHFFFAOYSA-N,C7H6N2,118.053098201,2D-QSAR-Ready,DTXCID704573,N1C=NC2=C1C=CC=C2,HYZJCKYKOHLVJF-UHFFFAOYSA-N,C7H6N2,118.053098201,1.06,0.98,-0.1,-2,-0.21,-0.9,-2.16,-2.2,0.11,-0.7,-2.19,4.63,0,118.054@4.431,0.93,0.36,0.64,-1.33,-0.15,-0.45,-1.41,-1.81,-0.36,-0.47,-1.62,0.92,0.32,-0.28,-1.33,-0.13,-0.44,-1.61,-1.06,0.51,-0.93,-1.62,1.53,1.46,0.55,-1.05,0.46,-0.12,-1.18,-1.22,0.73,0.05,-1.21,1.73,1.00,0.29,-0.98,0.46,0.08,-1.32,-0.66,1.24,-0.50,-1.33,0.89
2,4.402,138.0427050319,138,28092,20706,29039,12007,8425,14594,21018.5,19836.5,20312,52358,20592.5,34219,54911.5,50556,18326.5,14546.5,54846,52496,53417,49153.5,49049.5,56614,51651.5,50592,56843.5,45719,49690.5,53722.5,31477.5,33580.5,28841.5,-3308.5,36021.5,17432.5,-4319.5,6287.5,27392.5,35144,-1123.5,0.175398513535496,0.228622111708932,0.15226515572619,,0.242852719007112,-0.292907639895406,,-0.905294707110489,0.174552139119096,0.38309267896541,,3,51722.6363636364,3202.5535698515,6.19178331772558,1,39034.4275811887,17030.1402277516,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID8020961,100-01-6,4-Nitroaniline,NC1=CC=C(C=C1)[N+]([O-])=O,TYMLOMAKGOJONV-UHFFFAOYSA-N,C6H6N2O2,138.042927441,2D-QSAR-Ready,DTXCID40961,NC1=CC=C(C=C1)[N+]([O-])=O,TYMLOMAKGOJONV-UHFFFAOYSA-N,C6H6N2O2,138.042927441,1.23,1.96,1.58,-0.31,1.75,0.52,-0.53,-0.61,0.87,1.13,-0.56,1.61,0,138.043@4.402,0.71,0.70,0.92,-1.01,0.58,-0.24,-1.05,-1.40,0.12,-0.34,-1.19,0.18,0.23,0.15,-1.01,0.24,-0.29,-1.05,-0.91,0.17,0.38,-1.19,0.63,1.40,1.00,-1.01,1.18,-0.13,-1.24,-1.32,0.24,0.52,-1.27,0.76,0.85,0.73,-1.22,0.88,-0.02,-1.29,-1.05,0.76,1.11,-1.52,0.89
8,5.931,170.0255850319,170,196,378,120,253,507,606,658,1161,4903,15013,9228,8077.5,13792.5,13514.5,860,12888,14072.5,13560.5,13671,13919,13524.5,14123.5,14232.5,14879.5,13463,14413,14961,13055.5,12902.5,12510,9016,-1488.5,4895.5,6155,1087,-51.5,13553,2073,-1017,1.29244797412803,1.03242508995485,0.264552009791872,,-0.275310530945558,-0.118048909422347,-1.10341344854348,,1.19753698708393,-0.793586225317301,,3,13982.0909090909,575.871072146828,4.11863344253045,1,9764.7032735488,5966.49469529792,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID5041512,140-38-5,4-Chlorophenylurea,NC(=O)NC1=CC=C(Cl)C=C1,RECCURWJDVZHIH-UHFFFAOYSA-N,C7H7ClN2O,170.0246906,2D-QSAR-Ready,DTXCID3021512,NC(=O)NC1=CC=C(Cl)C=C1,RECCURWJDVZHIH-UHFFFAOYSA-N,C7H7ClN2O,170.0246906,1.44,1.71,0.06,-1.97,0.15,-0.93,-2.14,-2.21,0.76,-0.42,-2.11,5.26,0,170.026@5.931,1.39,0.74,0.47,-1.27,0.34,-0.69,-1.59,-1.39,-0.03,-0.18,-1.45,1.29,1.03,0.26,-1.27,-0.28,-0.12,-1.10,-1.39,1.20,-0.79,-1.45,1.40,1.59,0.41,-1.04,0.48,-0.30,-1.16,-1.21,0.91,0.07,-1.14,1.52,1.26,0.50,-1.02,-0.04,0.12,-0.86,-1.14,1.42,-0.55,-1.20,0.88
57,17.763,492.0974550319,492,1908,1245,1846,1548,1477,809,1345,695,457.5,473,138,118.5,349,315.5,1309.5,147.5,1124,1280.5,509.5,426.5,652.5,523,176,400,432,888,369,1087,-64.5,-185.5,-31,179.5,385,57.5,51,116.5,-421.5,221.5,-37,,,,-0.420796687823473,0.445581643107264,-0.314050505656492,-0.835255250861244,-0.432673438218115,,0.176581710244906,,5,613.090909090909,320.460876791098,52.2697159653332,0,2017.51920647715,9385.93479874143,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID9022817,1260-17-9,Carminic acid,CC1=C2C(=O)C3=C(C(O)=C(O)C([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)=C3O)C(=O)C2=CC(O)=C1C(O)=O,DGQLVPJVXFOQEV-JNVSTXMASA-N,C22H20O13,492.090390704,2D-QSAR-Ready,DTXCID00209218,CC1=C2C(=O)C3=C(C(O)=C(O)C(C4OC(CO)C(O)C(O)C4O)=C3O)C(=O)C2=CC(O)=C1C(O)=O,DGQLVPJVXFOQEV-UHFFFAOYSA-N,C22H20O13,492.090390704,-0.97,0.17,-9.68,-17.84,-9.54,-13.07,-18.49,-18.64,-3.98,-11.8,-17.89,14.36,0,492.097@17.763,2.01,1.27,1.14,-0.60,1.33,0.23,-0.30,-0.76,1.26,0.30,-0.65,2.01,1.27,1.14,-0.42,0.45,-0.31,-0.84,-0.43,1.26,0.18,-0.65,1.51,1.68,0.21,-1.01,0.23,-0.30,-1.11,-1.13,1.06,-0.11,-1.02,1.84,1.03,0.88,-0.83,0.13,-0.71,-1.28,-0.84,1.02,-0.17,-1.08,0.88
40,6.223,308.1053850319,308,161,0,221,153,101,406,50763,14978,12617.5,125486,22528,95554,121181,127924,108360.5,111248,122778.5,126406.5,129753,129041,126877,135872,127724,133528,126663,132227,131283.5,125242,75643.5,114775,116423.5,1391,113344,32170,12347,-1261,23866.5,20035.5,2463.5,0.17322433511474,0.884393475187575,0.965067337786381,-1.95526814592938,0.701675897711944,-0.472797810934556,-0.991873083879955,,-0.657082265504391,-0.744492027013206,-1.69756975663679,1,129510.636363636,3212.20959133704,2.48026701244668,1,91717.2072263232,52431.8747662067,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID5023742,81-81-2,Warfarin,CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=CC=CC=C2OC1=O,PJVWKTKQMONHTI-UHFFFAOYSA-N,C19H16O4,308.104858995,2D-QSAR-Ready,DTXCID703742,CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=CC=CC=C2OC1=O,PJVWKTKQMONHTI-UHFFFAOYSA-N,C19H16O4,308.104858995,2.29,2.89,2.71,-0.78,2.4,0.26,-1.35,-1.29,1.29,1.25,-1.28,1.71,0,308.105@6.223,-0.11,-0.49,0.30,-1.47,-0.03,-0.76,-1.97,-1.73,-0.48,-0.59,-1.94,0.17,0.88,0.97,-1.96,0.70,-0.47,-0.99,-1.73,-0.66,-0.74,-1.70,0.94,1.30,1.19,-0.94,1.00,-0.31,-1.29,-1.26,0.32,0.30,-1.25,0.66,1.36,1.44,-1.43,1.19,0.03,-0.48,-1.21,-0.15,-0.24,-1.18,0.85
19,9.369,217.0066950319,217,117,114,123,233,198,267,298.5,437,114.5,24717.5,387,386,36287,29387.5,186.5,878,30423,38855.5,96589,101356,98799.5,97422.5,98721.5,105496.5,102312,57475,103118,102128.5,38557,96152,101241.5,74082,97035.5,98335.5,69209.5,72924.5,57288.5,102240,71705.5,2.11115889997985,2.34247688519669,2.94655308439048,0.476708155700437,2.39921968299538,2.40612302568177,0.280414646996698,0.394710817971568,2.48738861500609,2.06612632490822,0.372350431035969,0,91115.8181818182,20784.1989176576,22.810747170358,0,44178.1515980141,44744.2373917272,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID4026975,121-03-9,2-Methyl-5-nitrobenzenesulfonic acid,CC1=CC=C(C=C1S(O)(=O)=O)[N+]([O-])=O,ZDTXQHVBLWYPHS-UHFFFAOYSA-N,C7H7NO5S,217.004493503,2D-QSAR-Ready,DTXCID506975,CC1=CC=C(C=C1S(O)(=O)=O)[N+]([O-])=O,ZDTXQHVBLWYPHS-UHFFFAOYSA-N,C7H7NO5S,217.004493503,0.11,1.26,0.86,-2.51,0.98,-1.15,-2.82,-2.95,-0.33,-0.31,-2.84,10.15,0,217.007@9.369,2.44,2.87,2.71,0.96,2.78,1.17,0.60,0.62,1.49,2.08,0.55,2.11,2.34,2.95,0.48,2.40,2.41,0.28,0.39,2.49,2.07,0.37,0.63,1.36,1.11,-1.03,1.18,-0.17,-1.23,-1.31,0.35,0.36,-1.24,0.45,0.69,1.29,-1.19,0.74,0.75,-1.39,-1.28,0.83,0.41,-1.30,0.84
9,11.412,180.0788850319,180,9062,5313,5777,7445,7506,11583,10244,9576.5,9455,9079.5,11160,8765,12260,10010,10649.5,10854,11868,10811,7936,11673.5,12304.5,10098.5,11727.5,9645.5,7493,10215,11575,8589,567,-1640.5,2218.5,3225,-1061.5,2962.5,-2614.5,-2517,-434.5,721,-3279,-1.25688651090349,,-0.629602100128485,-0.449532213996947,,-0.471093561411653,,,,-1.17765455252403,,6,10188.0454545455,1553.95730101841,15.2527519429657,0,10568.5073720895,4787.51694966258,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID4022527,94-13-3,Propylparaben,CCCOC(=O)C1=CC=C(O)C=C1,QELSKZZBTMNZEB-UHFFFAOYSA-N,C10H12O3,180.078644246,2D-QSAR-Ready,DTXCID602527,CCCOC(=O)C1=CC=C(O)C=C1,QELSKZZBTMNZEB-UHFFFAOYSA-N,C10H12O3,180.078644246,3.27,3.71,2.22,0.6,2.54,1.01,0.49,0.37,2.89,2.11,0.58,1.34,0,180.079@11.412,-0.31,-2.07,,,-1.24,-0.10,-0.14,-0.20,-1.01,,-0.52,-1.26,-2.07,-0.63,-0.45,-1.24,-0.47,-0.14,-0.20,-1.01,-1.18,-0.52,1.25,1.63,0.36,-1.02,0.63,-0.67,-1.12,-1.22,0.93,0.27,-1.04,-0.77,-2.25,0.37,0.70,-0.74,0.66,1.26,1.15,-0.33,-0.62,0.56,0.82
