,Average Rt(min),Average Mz,mass_round,pos_DIWB_1,pos_DIWB_2,pos_no injection_1,pos_no injection_2,pos_no injection_3,pos_no injection_4,pos-octl,pos_butac,pos_chlor,pos_chx,pos_dcm,pos_glyctriol,pos_hx,pos_octn,pos_olalc,pos_tol,pos_undec,pos-octlW,pos_butacW,pos_chlorW,pos_chxW,pos_dcmW,pos_glyctriolW,pos_hxW,pos_octnW,pos_olalcW,pos_tolW,pos_undecW,pos-octlM,pos_butacM,pos_chlorM,pos_chxM,pos_dcmM,pos_glyctriolM,pos_hxM,pos_octnM,pos_olalcM,pos_tolM,pos_undecM,pos-octlR_log,pos_butacR_log,pos_chlorR_log,pos_chxR_log,pos_dcmR_log,pos_glyctriolR_log,pos_hxR_log,pos_octnR_log,pos_olalcR_log,pos_tolR_log,pos_undecR_log,zeros,W_average,W_std,W_Rstd,W_Rstd_flag,Average,Stdev,Aliquot_Plate_Barcode,Aliquot_Well_ID,Aliquot_Concentration,Aliquot_Concentration_Unit,Target_Concentration,Target_Concentration_Unit,Aliquot_Solvent,DTXSID,CASRN,Preferred_Name,Smiles,Indigo_Inchi_Key,Mol_Formula,Monoisotopic_Mass,Relationship,MS_Ready_DTXCID,MS_Ready_Smiles,MS_Ready_Inchikey,MS_Ready_Mol_Formula,MS_Ready_Monoisotopic_Mass,octl,butac,chlor,chx,dcm,glyctriol,hx,octn,olalc,tol,undec,Mass_diff,Mass_flag,chem_id,predicted_1-octanol,predicted_butyl acetate,predicted_chloroform,predicted_cyclohexane,predicted_dichloromethane,predicted_triolein,predicted_n-hexane,predicted_n-octane,predicted_oleylalcohol,predicted_toluene,predicted_n-undecane,imputed_1-octanol,imputed_butyl acetate,imputed_chloroform,imputed_cyclohexane,imputed_dichloromethane,imputed_triolein,imputed_n-hexane,imputed_n-octane,imputed_oleylalcohol,imputed_toluene,imputed_n-undecane,1-octanol_db_std,butyl acetate_db_std,chloroform_db_std,cyclohexane_db_std,dichloromethane_db_std,triolein_db_std,n-hexane_db_std,n-octane_db_std,oleylalcohol_db_std,toluene_db_std,n-undecane_db_std,1-octanol_exp_std,butyl acetate_exp_std,chloroform_exp_std,cyclohexane_exp_std,dichloromethane_exp_std,triolein_exp_std,n-hexane_exp_std,n-octane_exp_std,oleylalcohol_exp_std,toluene_exp_std,n-undecane_exp_std,Correlation_R2
43,5.579,181.1102949681,181,2784,2130,3049,5728,4526,2569,6111.5,11736,16364,39450,18702.5,37121.5,40912.5,40787.5,15763,35253,45160,35111,38877,37501.5,35914,37176.5,41552,41326,41613.5,46762,37621,46225,28999.5,27141,21137.5,-3536,18474,4430.5,413.5,826,30999,2368,1065,0.676242693901335,0.364105744201134,0.111164149779462,,-0.005338724128549,-0.92317277591469,-1.9953805044275,-1.69354703947555,0.293708808553322,-1.17281438293631,-1.62740432547817,1,39970.8636363636,3729.11681654047,9.32958779791762,1,29779.911032284,15231.9148331934,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID5021962,120-07-0,N-Phenyldiethanolamine,OCCN(CCO)C1=CC=CC=C1,OJPDDQSCZGTACX-UHFFFAOYSA-N,C10H15NO2,181.110278727,2D-QSAR-Ready,DTXCID501962,OCCN(CCO)C1=CC=CC=C1,OJPDDQSCZGTACX-UHFFFAOYSA-N,C10H15NO2,181.110278727,0.24,0.58,-0.43,-3.39,-0.54,-2.05,-3.6,-3.68,-0.42,-1.62,-3.64,0.0896751973385397,0,181.11@5.579,1.22600413956476,0.822213408045697,0.161250596249931,-1.76340323048457,-0.184773855599986,-0.834160846648294,-1.82419056328668,-2.0321010316684,0.166302986144158,-0.531914244359916,-2.12460555897181,0.676242693901335,0.364105744201134,0.111164149779462,-1.76340323048457,-0.005338724128549,-0.92317277591469,-1.9953805044275,-1.69354703947555,0.293708808553322,-1.17281438293631,-1.62740432547817,1.21096707400088,1.42470076238046,0.789785982194061,-1.07095436369875,0.720636847718315,-0.228592180085112,-1.2029663476979,-1.25325662731663,0.796072267146402,0.0417180728655329,-1.22811148750726,1.44081843135142,1.1148072700631,0.850622645286272,-1.1072675985316,0.728941321583141,-0.229689642742504,-1.34955605730993,-1.03430636156204,1.0412812528334,-0.490427598595442,-0.965223662375812,0.943035229852462
44,5.576,181.1118049681,181,4884,3315,7063,3712,5082,2574,6226.5,14180,18072,40485,18963.5,37469.5,44605,42526.5,16147.5,37148.5,46924.5,36719,40576.5,39067.5,37395,39553,43864,43158.5,41425,47363,39150.5,47636,30492.5,26396.5,20995.5,-3090,20589.5,6394.5,-1446.5,-1101.5,31215.5,2002,711.5,0.689949040054998,0.269870115285845,0.0651200037458762,,0.0357273042441089,-0.767871306123043,,,0.286265002499401,-1.26847720915586,-1.81922474930999,3,41446.1818181818,3517.85060456425,8.48775556695797,1,31164.3056688496,15512.4657977459,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID5021962,120-07-0,N-Phenyldiethanolamine,OCCN(CCO)C1=CC=CC=C1,OJPDDQSCZGTACX-UHFFFAOYSA-N,C10H15NO2,181.110278727,2D-QSAR-Ready,DTXCID501962,OCCN(CCO)C1=CC=CC=C1,OJPDDQSCZGTACX-UHFFFAOYSA-N,C10H15NO2,181.110278727,0.24,0.58,-0.43,-3.39,-0.54,-2.05,-3.6,-3.68,-0.42,-1.62,-3.64,8.4271368290566,0,181.112@5.576,0.877258310369298,0.753403113588434,0.166801086793687,-1.91593650506984,-0.184202321987439,-1.08589945949077,-2.00930538021065,-2.07004604205847,-0.147456242936789,-0.615732645317649,-2.35382445943762,0.689949040054998,0.269870115285845,0.0651200037458762,-1.91593650506984,0.0357273042441089,-0.767871306123043,-2.00930538021065,-2.07004604205847,0.286265002499401,-1.26847720915586,-1.81922474930999,1.21096707400088,1.42470076238046,0.789785982194061,-1.07095436369875,0.720636847718315,-0.228592180085112,-1.2029663476979,-1.25325662731663,0.796072267146402,0.0417180728655329,-1.22811148750726,1.42693972124449,1.0172243736614,0.817525559531709,-1.11465720002287,0.788857994027465,0.00508460157555842,-1.20572261386809,-1.26496477031544,1.03321479002656,-0.483171079606139,-1.02033137625465,0.941810077521255
32,6.058,163.0990449681,163,955,6017,1816,2062,1806,1935,3389.5,5898.5,3234,28995.5,2831,16465.5,30226.5,29242,20057,15182,30589,30331,32576,31266,31017.5,32159.5,31487.5,32495,33002,39206,32086,33826.5,26941.5,26677.5,28032,2022,29328.5,15022,2268.5,3760,19149,16904,3237.5,0.900286133675567,0.655403544824706,0.937914068917604,-1.1565494508918,1.01534998228297,-0.039847165617762,-1.124649078472,-0.890819227847206,-0.0201198753535054,0.0466604969545231,-0.97535550239355,0,32677.5454545455,2263.92082915043,6.92806267318807,1,21729.1844913258,13169.6567552067,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID0044868,2050-43-3,"N-(2,4-Dimethylphenyl)acetamide",CC(=O)NC1=CC=C(C)C=C1C,PJEIIBXJUDOMAN-UHFFFAOYSA-N,C10H13NO,163.099714043,2D-QSAR-Ready,DTXCID8024868,CC(=O)NC1=CC=C(C)C=C1C,PJEIIBXJUDOMAN-UHFFFAOYSA-N,C10H13NO,163.099714043,1.52,1.82,1.75,-0.26,1.69,0.4,-0.46,-0.51,1.13,0.95,-0.52,4.10224447024427,0,163.099@6.058,1.10596827187999,1.10604659635632,0.944514822826236,-0.918747042613706,0.634925966320405,-0.215528023137397,-1.14592967085282,-1.30122824431156,0.560377864121757,0.0827206649907578,-1.36078280465954,0.900286133675567,0.655403544824706,0.937914068917604,-1.1565494508918,1.01534998228297,-0.039847165617762,-1.124649078472,-0.890819227847206,-0.0201198753535054,0.0466604969545231,-0.97535550239355,0.897968816944752,1.21971660151779,1.14464211845075,-1.01106803818861,1.08029256153614,-0.303222912127924,-1.2255665612373,-1.27919119199947,0.479696696999802,0.286648026255979,-1.28991611815191,1.16488642532416,0.867595848997377,1.21056721711335,-1.33213812515493,1.30457540046689,0.0235526470328259,-1.29341066745275,-1.00953825585803,0.0475018282283841,0.128574049262695,-1.11216636795998,0.930309220895519
118,9.306,403.1159849681,403,125,0,107,0,0,0,0,0,56,2575,0,404.5,7628,5884,219,0,7976,38655.5,42877.5,40158,41998.5,33346,40598,41160.5,40259,42193.5,38406,40318.5,38655.5,42877.5,40102,39423.5,33346,40193.5,33532.5,34375,41974.5,38406,32342.5,,,2.8549780056465,1.18497794474001,,1.99723729971385,0.643055248885764,0.766570042782827,2.28254141668744,,0.607988441517285,4,39997.3636363636,2479.13947763872,6.1982572155951,1,18228.6429196526,19348.4176853517,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID0032520,131860-33-8,Azoxystrobin,CO\C=C(\C(=O)OC)C1=CC=CC=C1OC1=CC(OC2=CC=CC=C2C#N)=NC=N1,WFDXOXNFNRHQEC-GHRIWEEISA-N,C22H17N3O5,403.116820659,2D-QSAR-Ready,DTXCID8012520,CO\C=C(\C(=O)OC)C1=CC=CC=C1OC1=CC(OC2=CC=CC=C2C#N)=NC=N1,WFDXOXNFNRHQEC-GHRIWEEISA-N,C22H17N3O5,403.116820659,2.55,3.85,4.77,1.04,4.44,1.88,0.22,0.39,1.96,3.09,0.28,2.07307375205236,0,403.116@9.306,2.61514697446766,3.33877744769108,3.77365189503046,1.099305333385,3.35444015199952,1.64185829899989,0.605425081684981,0.669096958813561,1.86805650594759,2.61803168744151,0.704198367950477,2.61514697446766,3.33877744769108,2.8549780056465,1.18497794474001,3.35444015199952,1.99723729971385,0.643055248885764,0.766570042782827,2.28254141668744,2.61803168744151,0.607988441517285,0.205308105198538,1.02539355333795,1.60576171663661,-0.747252684563393,1.39758617980122,-0.217351318073312,-1.26453735185133,-1.1572954086331,-0.166884521264733,0.545958983656447,-1.22668725424489,0.587014197333507,1.3055574708427,0.825159190681684,-0.833100590970467,1.32111006466267,-0.0265515062400684,-1.37121351224294,-1.24856704057313,0.256746892240391,0.589878630466254,-1.40603379620061,0.901082233291028
90,4.048,278.0828449681,278,318,155,124,0,0,89,18324.5,7288.5,7530,21750,9479,20599.5,22738.5,21014,24488.5,21535,23635,24412.5,21595.5,21467,22452.5,21845,23051.5,22619.5,21984,24447.5,22871,24008.5,6088,14307,13937,702.5,12366,2452,-119,970,-41,1336,373.5,-0.47855748960776,0.292910419034842,0.267374323840966,-1.49081293271354,0.115466718895396,-0.924336213266646,,-1.33573699365526,,-1.20733841795909,-1.80126500048752,2,22795.8636363636,1035.80958874314,4.54384885462655,1,17629.145713507,8545.94110526792,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID6021290,57-68-1,Sulfamethazine,CC1=CC(C)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=N1,ASWVTGNCAZCNNR-UHFFFAOYSA-N,C12H14N4O2S,278.083746881,2D-QSAR-Ready,DTXCID201290,CC1=CC(C)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=N1,ASWVTGNCAZCNNR-UHFFFAOYSA-N,C12H14N4O2S,278.083746881,0.29,1.48,0.59,-3.17,0.52,-1.57,-3.7,-3.68,-0.37,-0.82,-3.66,3.24331396615334,0,278.083@4.048,0.493059587617918,-0.898761121234102,0.129394694871635,-1.65754436373988,-0.41608288480752,-0.717895565580609,-1.64804277988245,-1.95106544364889,-0.526835331923038,-0.816324841568126,-1.88575176888794,-0.47855748960776,0.292910419034842,0.267374323840966,-1.49081293271354,0.115466718895396,-0.924336213266646,-1.64804277988245,-1.33573699365526,-0.526835331923038,-1.20733841795909,-1.80126500048752,0.836475858655567,1.47012568445426,0.996219512218262,-1.00590094576752,0.958945993053633,-0.153934793433143,-1.28811473372828,-1.2774651568241,0.485039820817638,0.245424340473595,-1.26681557991992,0.426906900963668,1.47002570932021,1.43549779067277,-0.941786054032712,1.23010016093867,-0.175840362797341,-1.15438000509607,-0.732104449726111,0.361629363451387,-0.558493897978694,-1.36155515571577,0.874682288051465
81,8.14,248.0828249681,248,0,0,214,0,169,0,86.5,258,193.5,26380.5,253,1482.5,29557.5,28830.5,188,1641,33833,34175.5,42163.5,40942,42108.5,39559,37601.5,41341,42237.5,37955,42167.5,40262,34089,41905.5,40748.5,15728,39306,36119,11783.5,13407,37767,40526.5,6429,2.59559815393269,2.21065132089073,2.32343065712688,-0.224609522154549,2.19133832863977,1.38674101578197,-0.399393392108396,-0.332520564931807,2.30295463900067,1.3926305172279,-0.721197082983632,0,40046.6363636364,2442.34313808118,6.09874726032898,1,22097.4095445521,18778.4100606421,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID9021217,58-14-0,Pyrimethamine,CCC1=NC(N)=NC(N)=C1C1=CC=C(Cl)C=C1,WKSAUQYGYAYLPV-UHFFFAOYSA-N,C12H13ClN4,248.0828741,2D-QSAR-Ready,DTXCID601217,CCC1=NC(N)=NC(N)=C1C1=CC=C(Cl)C=C1,WKSAUQYGYAYLPV-UHFFFAOYSA-N,C12H13ClN4,248.0828741,1.75,3.18,1.79,-0.48,2.08,0.55,-1.01,-0.94,1.53,1.39,-0.9,0.198046318791375,0,248.083@8.14,1.8152835125761,2.59217184699694,2.48665399779881,0.118582319854682,2.31683052423588,0.576873337827168,-0.338949417124526,-0.324862207518715,1.06147836669548,1.50263973493596,-0.1906413323569,2.59559815393269,2.21065132089073,2.32343065712688,-0.224609522154549,2.19133832863977,1.38674101578197,-0.399393392108396,-0.332520564931807,2.30295463900067,1.3926305172279,-0.721197082983632,0.6790078315751,1.71497225356116,0.70798585736492,-0.936517106207364,0.918076544341114,-0.190332942119499,-1.32047594792248,-1.26976440279029,0.51962868973109,0.41820559946672,-1.24078637700047,1.15361005750981,0.844948512093093,0.935378257776772,-1.10771432544018,0.829462794266304,0.184313312031833,-1.24786110619831,-1.19424053210604,0.91895999204154,0.189035685258465,-1.50589264723329,0.867890498829416
51,6.323,201.0358949681,201,176,981,399,417,323,537,957.5,1624.5,2057,54338,2266.5,4572.5,55589.5,52859.5,1395,8203,61412.5,55355,63678,57472,64708.5,60419,59882,67838.5,61651,64037,62630.5,66697.5,54397.5,62053.5,55415,10370.5,58152.5,55309.5,12249,8791.5,62642,54427.5,5285,1.75444015821279,1.58204656633133,1.43039304587616,-0.719303953618705,1.4092126665703,1.08264601829969,-0.656892133149858,-0.77906007036997,1.65229140758168,0.821845674922271,-1.06521178549943,0,62215.3636363636,3594.30158275131,5.77719291935556,1,36515.6240781896,29295.5395913308,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID0021337,148-79-8,Thiabendazole,N1C2=C(C=CC=C2)N=C1C1=CSC=N1,WJCNZQLZVWNLKY-UHFFFAOYSA-N,C10H7N3S,201.036068411,2D-QSAR-Ready,DTXCID401337,N1C2=C(C=CC=C2)N=C1C1=CSC=N1,WJCNZQLZVWNLKY-UHFFFAOYSA-N,C10H7N3S,201.036068411,1.48,2.69,1.5,-0.88,1.73,0.29,-1.34,-1.33,0.92,1.06,-1.26,0.862745185010691,0,201.036@6.323,1.29216749780118,1.84986094403764,1.82168303279251,-0.357367749152855,1.69678712424173,0.104753349796619,-0.759129018402242,-0.727822991758505,0.57599709155372,0.872496345343202,-0.642631527962279,1.75444015821279,1.58204656633133,1.43039304587616,-0.719303953618705,1.4092126665703,1.08264601829969,-0.656892133149858,-0.77906007036997,1.65229140758168,0.821845674922271,-1.06521178549943,0.760437558530214,1.6467268671149,0.775086968589465,-0.968192828461411,0.943555184270853,-0.111202339995224,-1.30512925982419,-1.29780455479456,0.350254076871185,0.452799947285942,-1.24653161958718,1.06821288540323,0.909788449372423,0.770423504376574,-1.20508226161661,0.750959383872854,0.45085462641576,-1.14772770828593,-1.2599963044902,0.974341309126125,0.211187090834622,-1.52296097500885,0.860051962778764
45,6.602,184.0639849681,184,1376,636,1140,699,689,91,608,393,1179,15812.5,990.5,1644,16545.5,16554.5,902,2939.5,17218,14068.5,16371.5,15028,17241.5,17158,15574.5,16340,17710.5,17261,17116.5,18006,13460.5,15978.5,13849,1429,16167.5,13930.5,-205.5,1156,16359,14177,788,1.34515761309723,1.60914345662387,1.069904610171,-1.04396830972892,1.21278838974459,0.928064891399683,,-1.15595823408904,1.25855021486454,0.683310874834796,-1.33945648599228,1,16534.1818181818,1153.65475126832,6.9773924343792,1,10159.4619371003,7765.86764005987,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID4041995,3878-19-1,Fuberidazole,N1C2=CC=CC=C2N=C1C1=CC=CO1,UYJUZNLFJAWNEZ-UHFFFAOYSA-N,C11H8N2O,184.063662886,2D-QSAR-Ready,DTXCID2021995,N1C2=CC=CC=C2N=C1C1=CC=CO1,UYJUZNLFJAWNEZ-UHFFFAOYSA-N,C11H8N2O,184.063662886,2.94,3.99,2.75,1.32,3.14,1.9,0.96,0.95,2.62,2.85,1.06,1.7498407612576,0,184.064@6.602,1.45296868494036,2.1292516697719,1.75436685871785,-0.663838712179264,1.64466955826155,-0.10360065889932,-1.10965290953539,-1.07636687823178,0.594177693748895,0.762616522251806,-0.991885416739426,1.34515761309723,1.60914345662387,1.069904610171,-1.04396830972892,1.21278838974459,0.928064891399683,-1.10965290953539,-1.15595823408904,1.25855021486454,0.683310874834796,-1.33945648599228,0.721342599492792,1.78133077050319,0.529535216167101,-0.914067721494683,0.923245108256678,-0.328550446079414,-1.27749223726968,-1.28758736270787,0.398298585470575,0.630486470549044,-1.17654098288774,0.904356959935109,1.13595997692243,0.662868912466743,-1.19169775382205,0.788225310316373,0.538428501734052,-1.24932490261742,-1.28995000859255,0.828373587280923,0.323698166580781,-1.45093875020439,0.85395127039776
0,4.43,118.0525349681,118,2309,2896,1924,3004,2423,1540,2226,10135,15503.5,25434,15262.5,18208.5,24801,25083.5,7224.5,23254,25952,24803.5,23932.5,26310,25729.5,26153,25726.5,26042,24773.5,29241,24214,22020.5,22577.5,13797.5,10806.5,295.5,10890.5,7518,1241,-310,22016.5,960,-3931.5,1.00615069095101,0.133976649708274,-0.156744695795471,-1.93485718173459,-0.146577857596054,-0.384171849098361,-1.3006974108487,,0.483940484192223,-1.38422643509006,,2,25358.7272727273,1718.52144911676,6.77684424235673,1,18820.1788377949,9357.08149619556,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID8024573,51-17-2,Benzimidazole,N1C=NC2=C1C=CC=C2,HYZJCKYKOHLVJF-UHFFFAOYSA-N,C7H6N2,118.053098201,2D-QSAR-Ready,DTXCID704573,N1C=NC2=C1C=CC=C2,HYZJCKYKOHLVJF-UHFFFAOYSA-N,C7H6N2,118.053098201,1.06,0.98,-0.1,-2,-0.21,-0.9,-2.16,-2.2,0.11,-0.7,-2.19,4.77101328606461,0,118.053@4.43,0.441089857414103,0.184362636296914,-0.173270591007622,-1.69328633101069,-0.508604455688756,-1.17844918881771,-2.0294098162112,-1.84653961262212,-0.331457638444863,-0.748043686801258,-1.88560757956893,1.00615069095101,0.133976649708274,-0.156744695795471,-1.93485718173459,-0.146577857596054,-0.384171849098361,-1.3006974108487,-1.84653961262212,0.483940484192223,-1.38422643509006,-1.88560757956893,1.53066236953774,1.46321204979847,0.552632733318333,-1.04931236048932,0.459888543676837,-0.121870464074362,-1.18421299996786,-1.21793815983749,0.729689822633915,0.0467553352738119,-1.20950686987008,1.69764315392837,0.816453289367022,0.522726703897324,-1.27376645752142,0.532998638571276,0.29294859432301,-0.633051260562628,-1.18453593346946,1.1700347643108,-0.717443739675291,-1.224007753169,0.846577103647595
69,7.423,236.0947549681,236,2797,611,3668,1047,1222,2974,2149.5,5197,2195.5,24331.5,4312,8894,27661.5,26748.5,2668,7813.5,29315.5,28638,29815.5,28487.5,26253,30204,31287,29417.5,27933,29897,27775,29617,26488.5,24618.5,26292,1921.5,25892,22393,1756,1184.5,27229,19961.5,301.5,1.0907199161614,0.67550887110759,1.07829018216792,-1.1025284945506,0.778486846167211,0.401015154985448,-1.19735121532612,-1.35376436765404,1.00884586668463,0.407347556597546,-1.98780998935794,0,29029.5,1323.69592773073,4.55983026828132,1,18350.78768143,12455.8855464111,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID4022731,298-46-4,Carbamazepine,NC(=O)N1C2=CC=CC=C2C=CC2=C1C=CC=C2,FFGPTBGBLSHEPO-UHFFFAOYSA-N,C15H12N2O,236.094963014,2D-QSAR-Ready,DTXCID902731,NC(=O)N1C2=CC=CC=C2C=CC2=C1C=CC=C2,FFGPTBGBLSHEPO-UHFFFAOYSA-N,C15H12N2O,236.094963014,2.22,2.87,2.35,0.11,2.19,1.06,-0.46,-0.31,1.38,1.61,-0.4,0.881195843145673,0,236.095@7.423,0.409597393486264,0.941296946384037,1.50596221543231,-1.00652208335285,1.24503053071016,-0.250508424945131,-1.38447363913895,-1.31030672094901,-0.380590442836126,0.121545905308493,-1.18327445374198,1.0907199161614,0.67550887110759,1.07829018216792,-1.1025284945506,0.778486846167211,0.401015154985448,-1.19735121532612,-1.35376436765404,1.00884586668463,0.407347556597546,-1.98780998935794,0.915423724084597,1.4701084382545,1.02636066691858,-0.885168194220783,0.889822891122908,-0.074475150434001,-1.37158402049285,-1.24357985568441,0.198600401157336,0.39487345386361,-1.32038235456948,1.01281477956487,0.63362054099007,1.00146324262121,-0.990183866575543,0.727665859167112,0.382937335621548,-1.07678134473127,-1.21962669267326,0.938042761285937,0.388720443359778,-1.79867305863045,0.841437329373895
